player,squad,league,age,is_target_candidate,minutes,market_value_m_eur,availability_note,tackles_interceptions,dribblers_tackled_pct,interceptions,blocks,aerial_win_pct,def_mid_third_actions,ball_recoveries,pressure_regains,fouls_committed,cards,miscontrols,dispossessed,defensive_actions_after_loss,pass_completion_pct,short_medium_pass_completion_pct,passes_received,touches,progressive_passes,progressive_carries,passes_into_final_third,carries_into_final_third,progressive_passing_distance,live_ball_sca,date_of_birth,context_source,context_source_url,tackles_interceptions_per90,interceptions_per90,blocks_per90,def_mid_third_actions_per90,ball_recoveries_per90,pressure_regains_per90,fouls_committed_per90,cards_per90,miscontrols_per90,dispossessed_per90,defensive_actions_after_loss_per90,passes_received_per90,touches_per90,progressive_passes_per90,progressive_carries_per90,passes_into_final_third_per90,carries_into_final_third_per90,progressive_passing_distance_per90,live_ball_sca_per90,dispossessed_per_touch,miscontrols_per_touch,turnover_rate,fouls_committed_per90_inv,cards_per90_inv,miscontrols_per90_inv,dispossessed_per90_inv,dispossessed_per_touch_inv,miscontrols_per_touch_inv,turnover_rate_inv,age_score,minutes_score,aerial_duel_win_pct,def_actions_after_loss_per90,tackles_interceptions_per90_score,interceptions_per90_score,dribblers_tackled_pct_score,blocks_per90_score,aerial_duel_win_pct_score,def_mid_third_actions_per90_score,ball_recoveries_per90_score,pressure_regains_per90_score,def_actions_after_loss_per90_score,fouls_committed_per90_score,cards_per90_score,miscontrols_per90_score,dispossessed_per90_score,pass_completion_pct_score,short_medium_pass_completion_pct_score,passes_received_per90_score,touches_per90_score,dispossessed_per_touch_score,miscontrols_per_touch_score,turnover_rate_score,progressive_passes_per90_score,progressive_carries_per90_score,passes_into_final_third_per90_score,carries_into_final_third_per90_score,progressive_passing_distance_per90_score,live_ball_sca_per90_score,age_score_score,minutes_score_score,defensive_protection_metric_count,defensive_protection,transition_control_metric_count,transition_control,possession_security_metric_count,possession_security,progressive_value_metric_count,progressive_value,age_availability_metric_count,age_availability,control_midfielder_score,rank,passed_defensive_gate,gate_margin,gate_status
Exequiel Palacios,Bayer Leverkusen,Bundesliga,27,True,1986,45,"Elite control, availability watch",110,52.9,43,30,54.0,150,197,38,27,5,16,15,40,91.7,94.8,1625,2018,177,49,146,31,6810,48,1998-10-05,Bundesliga/Transfermarkt profile checked May 2026,https://www.bundesliga.com/en/bundesliga/player/exequiel-palacios/,4.984894259818731,1.948640483383686,1.3595166163141994,6.7975830815709966,8.927492447129909,1.7220543806646524,1.2235649546827794,0.22658610271903323,0.7250755287009063,0.6797583081570997,1.8126888217522659,73.6404833836858,91.45015105740181,8.021148036253775,2.2205438066465257,6.61631419939577,1.404833836858006,308.6102719033233,2.175226586102719,0.007433102081268583,0.007928642220019821,0.015361744301288404,90.0,70.0,100.0,95.0,95.0,100.0,100.0,100.0,20.0,54.0,1.8126888217522659,50.0,40.0,60.0,30.0,45.0,60.0,75.0,65.0,60.0,90.0,70.0,100.0,95.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,90.0,80.0,90.0,80.0,90.0,85.0,60.0,20.0,6,47.5,7,79.29,7,99.29,6,85.83,2,40.0,73.77,1,True,2.5,Borderline / video review
Johnny Cardoso,Atletico Madrid,La Liga,24,True,2050,35,La Liga target pool: defensive midfielder with ball-carrying balance,138,54.8,59,40,58.7,184,215,43,37,6,24,22,46,87.8,92.6,1395,1810,145,49,111,29,5820,39,2001-09-20,Public profile checked May 2026,https://en.wikipedia.org/wiki/Johnny_Cardoso,6.058536585365854,2.5902439024390245,1.7560975609756098,8.078048780487805,9.439024390243903,1.8878048780487806,1.624390243902439,0.2634146341463415,1.053658536585366,0.9658536585365854,2.0195121951219512,61.243902439024396,79.46341463414635,6.365853658536585,2.151219512195122,4.873170731707317,1.273170731707317,255.5121951219512,1.7121951219512195,0.012154696132596685,0.013259668508287293,0.025414364640883976,45.0,49.99999999999999,49.99999999999999,45.0,55.0,70.0,65.0,100.0,25.0,58.7,2.0195121951219512,85.0,90.0,80.0,90.0,80.0,85.0,85.0,85.0,85.0,45.0,49.99999999999999,49.99999999999999,45.0,80.0,80.0,75.0,75.0,55.0,70.0,65.0,55.00000000000001,70.0,55.00000000000001,70.0,55.00000000000001,40.0,60.0,25.0,6,85.0,7,63.57,7,71.43,6,57.5,2,42.5,70.0,2,True,40.0,Passed gate
Manuel Ugarte,Manchester United,Premier League,25,False,1774,45,"Current United midfielder as of May 2026, not a target",151,59.6,53,30,52.4,184,204,48,49,10,20,24,55,91.0,94.1,1232,1598,91,23,65,14,3530,23,2001-04-11,Manchester United confirmed signing from PSG in Aug 2024,https://www.manutd.com/en/news/detail/transfer-news-manuel-ugarte-signs-from-psg,7.6606538895152205,2.6888387824126267,1.5219842164599773,9.334836527621194,10.349492671927846,2.4351747463359636,2.4859075535512964,0.5073280721533258,1.0146561443066515,1.2175873731679818,2.790304396843292,62.502818489289744,81.07102593010147,4.616685456595265,1.1668545659526492,3.2976324689966177,0.7102593010146561,179.08680947012402,1.1668545659526492,0.01501877346683354,0.012515644555694616,0.027534418022528154,5.0,5.0,60.0,30.0,35.0,80.0,45.0,100.0,15.0,52.4,2.790304396843292,100.0,95.0,95.0,75.0,40.0,100.0,100.0,100.0,100.0,5.0,5.0,60.0,30.0,95.0,90.0,80.0,80.0,35.0,80.0,45.0,20.0,15.0,15.0,15.0,10.0,15.0,60.0,15.0,6,84.17,7,57.14,7,72.14,6,15.0,2,37.5,61.7,3,True,39.17,Passed gate
Elliot Anderson,Nottingham Forest,Premier League,23,True,2880,75,"May 2026 EPL target pool: high-cost controller, availability caveat",156,52.8,60,45,54.2,205,270,56,48,6,32,30,61,86.4,91.1,1900,2520,218,91,166,56,8200,70,2002-11-06,Public profile checked May 2026,https://en.wikipedia.org/wiki/Elliot_Anderson_%28footballer%29,4.875,1.875,1.40625,6.40625,8.4375,1.75,1.5,0.1875,1.0,0.9375,1.90625,59.375,78.75,6.812499999999999,2.84375,5.1875,1.75,256.25,2.1875,0.011904761904761904,0.012698412698412698,0.024603174603174603,57.5,90.0,72.5,49.99999999999999,70.0,75.0,80.0,100.0,90.0,54.2,1.90625,40.0,30.0,55.00000000000001,40.0,50.0,40.0,45.0,70.0,70.0,57.5,90.0,72.5,49.99999999999999,55.00000000000001,50.0,70.0,70.0,70.0,75.0,80.0,70.0,95.0,65.0,100.0,65.0,90.0,60.0,90.0,6,42.5,7,65.0,7,67.14,6,80.83,2,75.0,61.66,4,False,-2.5,Borderline / video review
Morten Hjulmand,Sporting CP,Primeira Liga,26,True,2520,35,Aggressive holder with passing range,154,52.6,66,41,57.1,205,250,46,58,11,28,23,48,85.2,90.6,1510,2042,188,42,148,25,7480,49,1999-06-25,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefachampionsleague/clubs/players/250101557--morten-hjulmand/,5.5,2.357142857142857,1.4642857142857144,7.321428571428572,8.928571428571429,1.642857142857143,2.0714285714285716,0.39285714285714285,1.0,0.8214285714285715,1.7142857142857144,53.92857142857142,72.92857142857143,6.714285714285714,1.5,5.285714285714286,0.8928571428571428,267.14285714285717,1.75,0.011263467189030364,0.013712047012732615,0.02497551420176298,20.0,15.0,72.5,80.0,80.0,55.0,75.0,100.0,65.0,57.1,1.7142857142857144,80.0,85.0,50.0,50.0,70.0,80.0,80.0,45.0,45.0,20.0,15.0,72.5,80.0,40.0,40.0,45.0,55.00000000000001,80.0,55.0,75.0,65.0,35.0,75.0,35.0,70.0,50.0,60.0,65.0,6,69.17,7,51.07,7,55.71,6,55.0,2,62.5,58.82,5,True,24.17,Passed gate
Florentino Luís,Burnley,Premier League,26,True,1745,30,"EPL target pool: defensive specialist, on loan from Benfica in 2025/26 public profiles",137,60.2,55,36,64.5,173,198,41,38,6,24,22,44,87.5,92.4,996,1397,83,18,62,9,3310,19,1999-08-19,UEFA 2025/26 profile lists Burnley loan,https://www.uefa.com/uefachampionsleague/clubs/players/250089225--florentino/,7.065902578796562,2.836676217765043,1.8567335243553007,8.922636103151863,10.212034383954155,2.1146131805157595,1.9598853868194843,0.30945558739255014,1.2378223495702005,1.1346704871060171,2.2693409742120343,51.36962750716332,72.0515759312321,4.28080229226361,0.9283667621776504,3.197707736389685,0.4641833810888252,170.71633237822348,0.9799426934097422,0.015748031496062992,0.017179670722977807,0.032927702219040796,25.0,35.0,40.0,35.0,30.0,35.0,35.0,100.0,10.0,64.5,2.2693409742120343,95.0,100.0,100.0,95.0,90.0,95.0,95.0,90.0,95.0,25.0,35.0,40.0,35.0,75.0,75.0,35.0,50.0,30.0,35.0,35.0,10.0,10.0,10.0,10.0,5.0,5.0,60.0,10.0,6,95.83,7,59.29,7,47.86,6,8.33,2,35.0,58.54,6,True,50.83,Passed gate
Angelo Stiller,Stuttgart,Bundesliga,25,True,2634,30,High-volume passer,105,46.8,44,32,45.1,151,226,34,28,4,26,18,36,90.8,94.2,2055,2638,251,55,203,32,9140,61,2001-04-04,Public profile checked May 2026,https://en.wikipedia.org/wiki/Angelo_Stiller,3.5876993166287017,1.5034168564920274,1.0933940774487472,5.159453302961276,7.722095671981777,1.1617312072892938,0.9567198177676537,0.1366742596810934,0.8883826879271071,0.6150341685649203,1.2300683371298406,70.21640091116174,90.1366742596811,8.57630979498861,1.8792710706150342,6.93621867881549,1.0933940774487472,312.3006833712984,2.084282460136674,0.006823351023502654,0.009855951478392721,0.016679302501895376,100.0,100.0,90.0,100.0,100.0,95.0,95.0,100.0,80.0,45.1,1.2300683371298406,5.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,5.0,100.0,100.0,90.0,100.0,90.0,95.0,95.0,95.0,100.0,95.0,95.0,95.0,50.0,95.0,60.0,95.0,75.0,60.0,80.0,6,8.33,7,60.71,7,95.0,6,78.33,2,70.0,56.68,7,False,-36.67,Watchlist: below gate
Mats Wieffer,Brighton & Hove Albion,Premier League,26,True,2385,32,EPL target pool: tall distributor with defensive base,130,51.2,57,39,66.1,176,231,36,37,5,29,24,39,86.5,91.2,1505,1997,183,44,140,25,7160,43,1999-11-16,Public profile checked May 2026,https://en.wikipedia.org/wiki/Mats_Wieffer,4.90566037735849,2.150943396226415,1.471698113207547,6.6415094339622645,8.716981132075473,1.3584905660377358,1.3962264150943395,0.18867924528301888,1.0943396226415094,0.9056603773584905,1.471698113207547,56.79245283018868,75.35849056603773,6.90566037735849,1.6603773584905661,5.283018867924529,0.9433962264150944,270.188679245283,1.6226415094339623,0.012018027040560842,0.014521782674011018,0.02653980971457186,70.0,85.0,45.0,60.0,60.0,45.0,49.99999999999999,100.0,55.00000000000001,66.1,1.471698113207547,45.0,65.0,35.0,70.0,95.0,50.0,60.0,25.0,25.0,70.0,85.0,45.0,60.0,60.0,55.00000000000001,60.0,65.0,60.0,45.0,49.99999999999999,75.0,40.0,70.0,40.0,75.0,35.0,60.0,55.00000000000001,6,60.0,7,52.86,7,56.43,6,55.83,2,57.5,56.57,8,True,15.0,Passed gate
Adam Wharton,Crystal Palace,Premier League,22,True,1200,35,"Young controller, sample-size caution",72,54.7,31,18,48.2,85,104,22,18,3,13,12,24,85.9,91.0,730,955,101,24,78,13,3750,26,2004-02-06,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefaconferenceleague/clubs/players/250178736--adam-wharton/,5.3999999999999995,2.325,1.3499999999999999,6.375,7.800000000000001,1.65,1.3499999999999999,0.225,0.9750000000000001,0.9,1.8,54.74999999999999,71.625,7.575,1.8,5.8500000000000005,0.9750000000000001,281.25,1.9500000000000002,0.012565445026178011,0.01361256544502618,0.02617801047120419,85.0,75.0,80.0,65.0,49.99999999999999,60.0,55.0,100.0,5.0,48.2,1.8,75.0,75.0,75.0,25.0,20.0,30.0,20.0,50.0,55.00000000000001,85.0,75.0,80.0,65.0,45.0,45.0,50.0,45.0,49.99999999999999,60.0,55.0,80.0,45.0,85.0,45.0,85.0,65.0,60.0,5.0,6,50.0,7,61.43,7,50.0,6,67.5,2,32.5,54.61,9,True,5.0,Borderline / video review
Hugo Larsson,Eintracht Frankfurt,Bundesliga,21,True,2380,45,Bundesliga target pool: young two-way controller,128,51.6,49,36,56.2,169,224,44,36,6,27,23,47,86.6,91.8,1510,1985,162,58,120,34,6300,46,2004-06-27,Eintracht/UEFA profile checked May 2026,https://en.eintracht.de/2024-2025/squad/hugo-larsson/,4.840336134453782,1.8529411764705883,1.361344537815126,6.390756302521008,8.470588235294118,1.6638655462184875,1.361344537815126,0.22689075630252103,1.0210084033613445,0.8697478991596639,1.7773109243697478,57.10084033613445,75.06302521008404,6.126050420168067,2.19327731092437,4.53781512605042,1.2857142857142856,238.23529411764704,1.7394957983193278,0.011586901763224182,0.013602015113350125,0.025188916876574305,80.0,65.0,55.0,70.0,75.0,65.0,70.0,100.0,50.0,56.2,1.7773109243697478,35.0,25.0,42.5,35.0,60.0,35.0,50.0,55.00000000000001,50.0,80.0,65.0,55.0,70.0,65.0,65.0,65.0,60.0,75.0,65.0,70.0,45.0,75.0,45.0,75.0,40.0,45.0,60.0,50.0,6,38.75,7,60.71,7,66.43,6,54.17,2,55.0,54.29,10,False,-6.25,Watchlist: below gate
Alan Varela,Porto,Primeira Liga,24,True,2225,30,"Balanced anchor, promising age curve",126,53.9,58,35,52.1,169,220,42,41,8,25,21,45,86.1,91.4,1330,1762,161,35,122,20,6320,36,2001-07-04,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefaeuropaleague/clubs/players/250188256--alan-varela/,5.096629213483146,2.346067415730337,1.4157303370786518,6.835955056179776,8.898876404494382,1.6988764044943818,1.658426966292135,0.32359550561797756,1.0112359550561798,0.8494382022471909,1.8202247191011234,53.79775280898876,71.27191011235955,6.512359550561798,1.4157303370786518,4.9348314606741575,0.8089887640449439,255.64044943820227,1.456179775280899,0.011918274687854708,0.014188422247446085,0.026106696935300794,40.0,30.0,65.0,75.0,65.0,49.99999999999999,60.0,100.0,35.0,52.1,1.8202247191011234,55.00000000000001,80.0,65.0,45.0,35.0,65.0,70.0,60.0,65.0,40.0,30.0,65.0,75.0,50.0,60.0,40.0,35.0,65.0,49.99999999999999,60.0,60.0,25.0,60.0,25.0,60.0,25.0,60.0,35.0,6,57.5,7,57.86,7,51.43,6,42.5,2,47.5,53.32,11,True,12.5,Passed gate
Aleix Garcia,Bayer Leverkusen,Bundesliga,28,True,3062,25,"Bundesliga target pool: possession controller, lighter duelling profile",123,44.9,55,36,42.5,164,260,38,39,6,31,27,42,89.7,93.6,2300,2972,304,64,245,36,11200,77,1997-06-28,Bundesliga confirmed Leverkusen signing in Jun 2024,https://www.bundesliga.com/en/bundesliga/news/bayer-leverkusen-sign-aleix-garcia-from-girona-27812,3.6152841280209014,1.6165904637491835,1.0581319399085565,4.820378837361202,7.642064010450685,1.116917047681254,1.1463096015676029,0.17635532331809275,0.9111691704768126,0.7935989549314173,1.2344872632266493,67.60287393860223,87.35467015022861,8.935336381450032,1.8811234487263226,7.201175702155454,1.0581319399085565,329.1966035271065,2.263226649248857,0.009084791386271869,0.010430686406460296,0.019515477792732164,95.0,95.0,85.0,85.0,90.0,90.0,90.0,50.0,100.0,42.5,1.2344872632266493,10.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,95.0,95.0,85.0,85.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0,100.0,55.00000000000001,100.0,50.0,100.0,95.0,12.5,100.0,6,6.67,7,55.0,7,88.57,6,83.33,2,56.25,53.21,12,False,-38.33,Watchlist: below gate
Ederson,Atalanta,Serie A,26,True,2822,35,Two-way transition defender,166,54.1,67,46,58.4,216,268,50,47,7,39,29,52,82.9,88.7,1428,1994,171,64,121,38,6840,58,1999-07-07,UEFA 2025/26 profile,https://www.uefa.com/uefachampionsleague/clubs/players/250188474--ederson/,5.294117647058823,2.1367824238128987,1.4670446491849751,6.888731396172927,8.547129695251595,1.5946137491141035,1.4989369241672572,0.22324592487597447,1.2437987243090007,0.92487597448618,1.6583982990786676,45.54216867469879,63.59319631467044,5.453579021970234,2.0411055988660527,3.85896527285613,1.2119064493267186,218.14316087880937,1.84975194897236,0.014543630892678034,0.019558676028084254,0.034102306920762285,65.0,80.0,35.0,55.0,40.0,30.0,30.0,100.0,85.0,58.4,1.6583982990786676,65.0,60.0,70.0,65.0,75.0,70.0,55.00000000000001,40.0,40.0,65.0,80.0,35.0,55.0,15.0,20.0,20.0,15.0,40.0,30.0,30.0,30.0,65.0,25.0,65.0,30.0,55.00000000000001,60.0,85.0,6,67.5,7,52.86,7,24.29,6,45.0,2,72.5,49.91,13,True,22.5,Passed gate
Samuele Ricci,AC Milan,Serie A,24,True,2304,28,Serie A target pool: press-resistant possession profile,116,51.6,52,33,47.9,161,210,39,35,6,22,19,42,87.2,92.0,1412,1831,154,38,116,21,6080,38,2001-08-21,AC Milan confirmed signing from Torino in Jul 2025,https://www.acmilan.com/en/news/articles/media/2025-07-03/official-statement-samuele-ricci,4.53125,2.03125,1.2890625,6.2890625,8.203125,1.5234375,1.3671875,0.234375,0.8593750000000001,0.7421875,1.640625,55.15625,71.5234375,6.015625,1.484375,4.53125,0.8203125,237.5,1.484375,0.010376843255051884,0.012015292190060077,0.02239213544511196,75.0,60.0,95.0,90.0,85.0,85.0,85.0,100.0,45.0,47.9,1.640625,20.0,55.00000000000001,42.5,20.0,15.0,20.0,40.0,35.0,35.0,75.0,60.0,95.0,90.0,70.0,70.0,55.00000000000001,40.0,85.0,85.0,85.0,40.0,30.0,40.0,30.0,35.0,30.0,60.0,45.0,6,28.75,7,61.43,7,70.0,6,34.17,2,52.5,49.23,14,False,-16.25,Watchlist: below gate
Bruno Guimarães,Newcastle United,Premier League,28,True,3059,85,"Control creator, premium market",174,50.5,61,43,48.7,205,272,61,66,13,45,38,67,84.8,90.2,2150,2798,261,86,196,49,9420,91,1997-11-16,Public profile checked May 2026,https://en.wikipedia.org/wiki/Bruno_Guimar%C3%A3es,5.119320039228506,1.7947041516835567,1.2651193200392286,6.031382804838183,8.002615233736515,1.7947041516835567,1.941811049362537,0.3824779339653481,1.3239620791108206,1.1180124223602483,1.971232428898333,63.25596600196143,82.32101994115723,7.678980058842759,2.530238640078457,5.766590389016018,1.4416475972540046,277.14939522719845,2.677345537757437,0.013581129378127233,0.016082916368834885,0.02966404574696212,30.0,25.0,30.0,40.0,45.0,40.0,40.0,50.0,95.0,48.7,1.971232428898333,60.0,20.0,30.0,15.0,25.0,15.0,30.0,75.0,80.0,30.0,25.0,30.0,40.0,35.0,35.0,85.0,85.0,45.0,40.0,40.0,85.0,85.0,80.0,85.0,80.0,100.0,12.5,95.0,6,27.5,7,44.29,7,52.14,6,85.83,2,53.75,47.92,15,False,-17.5,Watchlist: below gate
Carlos Baleba,Brighton & Hove Albion,Premier League,22,True,2580,55,May 2026 EPL target pool: young ball-winner with carrying upside,124,57.8,56,42,55.0,190,252,52,45,8,43,36,56,84.2,89.5,1420,1990,150,82,112,48,6100,54,2004-01-03,Public profile checked May 2026,https://en.wikipedia.org/wiki/Carlos_Baleba,4.325581395348837,1.9534883720930232,1.4651162790697674,6.627906976744186,8.790697674418604,1.813953488372093,1.569767441860465,0.27906976744186046,1.5,1.255813953488372,1.9534883720930232,49.53488372093023,69.4186046511628,5.232558139534883,2.8604651162790695,3.9069767441860463,1.6744186046511627,212.79069767441862,1.8837209302325582,0.018090452261306532,0.021608040201005024,0.03969849246231155,49.99999999999999,40.0,20.0,25.0,25.0,20.0,25.0,100.0,72.5,55.0,1.9534883720930232,15.0,45.0,90.0,57.49999999999999,55.00000000000001,45.0,65.0,80.0,75.0,49.99999999999999,40.0,20.0,25.0,25.0,25.0,30.0,30.0,25.0,20.0,25.0,25.0,100.0,30.0,95.0,25.0,60.0,60.0,72.5,6,51.25,7,50.71,7,25.71,6,55.83,2,66.25,46.17,16,True,6.25,Passed gate
João Gomes,Wolverhampton Wanderers,Premier League,25,True,2464,40,Ball-winning transition disruptor,189,55.4,63,48,50.6,227,261,58,64,11,46,43,61,81.7,87.3,1168,1726,115,52,84,29,5090,54,2001-02-12,Public profile checked May 2026,https://www.premierleague.com/,6.903409090909091,2.3011363636363638,1.7532467532467533,8.291396103896103,9.533279220779221,2.1185064935064934,2.337662337662338,0.40178571428571425,1.6801948051948052,1.570616883116883,2.2280844155844157,42.66233766233766,63.04383116883117,4.200487012987013,1.8993506493506493,3.068181818181818,1.0592532467532467,185.9172077922078,1.9724025974025974,0.024913093858632676,0.026651216685979143,0.051564310544611816,15.0,10.0,5.0,5.0,5.0,5.0,5.0,100.0,60.0,50.6,2.2280844155844157,90.0,70.0,85.0,85.0,30.0,90.0,90.0,95.0,90.0,15.0,10.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,60.0,5.0,55.00000000000001,20.0,70.0,60.0,60.0,6,75.0,7,44.29,7,6.43,6,35.83,2,60.0,43.55,17,True,30.0,Passed gate
Youssouf Fofana,AC Milan,Serie A,27,True,2580,30,"Serie A target pool: range, carries, and duels",138,49.9,49,42,56.6,181,232,43,43,7,42,39,47,83.4,88.1,1360,1962,177,73,136,46,6900,62,1999-01-10,AC Milan / Transfermarkt profile checked May 2026,https://www.acmilan.com/en/news/articles/media/2024-08-17/official-statement-youssouf-fofana,4.813953488372093,1.7093023255813953,1.4651162790697674,6.313953488372094,8.093023255813954,1.5,1.5,0.2441860465116279,1.4651162790697674,1.3604651162790697,1.6395348837209303,47.441860465116285,68.44186046511628,6.174418604651163,2.546511627906977,4.7441860465116275,1.6046511627906976,240.69767441860463,2.1627906976744184,0.019877675840978593,0.021406727828746176,0.041284403669724766,57.5,55.0,25.0,10.0,20.0,25.0,20.0,100.0,72.5,56.6,1.6395348837209303,30.0,15.0,25.0,57.49999999999999,65.0,25.0,35.0,30.0,30.0,57.5,55.0,25.0,10.0,20.0,10.0,25.0,25.0,20.0,25.0,20.0,50.0,90.0,50.0,90.0,45.0,80.0,60.0,72.5,6,36.25,7,34.64,7,20.71,6,67.5,2,66.25,38.15,18,False,-8.75,Watchlist: below gate
Amadou Onana,Aston Villa,Premier League,24,True,2277,50,EPL target pool: physical defensive upside,116,47.1,48,49,71.9,170,202,30,45,7,38,34,34,84.7,90.1,1046,1532,113,31,85,19,4540,28,2001-08-16,Aston Villa transfer from Everton in Jul 2024,https://global.espn.com/football/story/_/id/40616656/aston-villa-complete-amadou-onana-transfer-everton,4.58498023715415,1.8972332015810278,1.9367588932806323,6.719367588932807,7.984189723320158,1.1857707509881423,1.7786561264822134,0.2766798418972332,1.5019762845849804,1.3438735177865613,1.3438735177865613,41.34387351778656,60.55335968379447,4.466403162055336,1.225296442687747,3.3596837944664033,0.7509881422924902,179.44664031620553,1.1067193675889329,0.022193211488250653,0.02480417754569191,0.046997389033942565,35.0,45.0,15.0,20.0,10.0,10.0,10.0,100.0,40.0,71.9,1.3438735177865613,25.0,35.0,15.0,100.0,100.0,55.00000000000001,25.0,20.0,15.0,35.0,45.0,15.0,20.0,30.0,30.0,5.0,5.0,10.0,10.0,10.0,15.0,20.0,20.0,20.0,15.0,10.0,60.0,40.0,6,55.0,7,25.0,7,14.29,6,16.67,2,50.0,31.32,19,True,10.0,Passed gate
Casemiro,Manchester United,Premier League,34,False,2071,20,"Current United reference profile, not a target",122,48.5,45,38,63.2,166,176,25,55,9,37,31,31,82.1,88.4,1008,1506,128,21,91,10,5580,31,1992-02-23,Manchester United reference profile,https://www.manutd.com/,5.301786576533076,1.955577015934331,1.651376146788991,7.213906325446644,7.648478995654273,1.086431675519073,2.39014968614196,0.3911154031868662,1.6079188797682278,1.3471752776436505,1.3471752776436505,43.804925156929016,65.44664413326896,5.562530178657653,0.9126026074360213,3.9546112988894255,0.43457267020762913,242.49154997585705,1.3471752776436505,0.020584329349269587,0.024568393094289504,0.045152722443559085,10.0,20.0,10.0,15.0,15.0,15.0,15.0,0.0,30.0,63.2,1.3471752776436505,70.0,50.0,20.0,80.0,85.0,75.0,10.0,5.0,20.0,10.0,20.0,10.0,15.0,10.0,15.0,15.0,20.0,15.0,15.0,15.0,35.0,5.0,35.0,5.0,50.0,20.0,5.0,30.0,6,63.33,7,12.86,7,15.0,6,25.0,2,17.5,30.59,20,True,18.33,Passed gate
