player,squad,league,age,is_target_candidate,minutes,market_value_m_eur,availability_note,tackles_interceptions,dribblers_tackled_pct,interceptions,blocks,aerial_win_pct,def_mid_third_actions,ball_recoveries,pressure_regains,fouls_committed,cards,miscontrols,dispossessed,defensive_actions_after_loss,pass_completion_pct,short_medium_pass_completion_pct,passes_received,touches,progressive_passes,progressive_carries,passes_into_final_third,carries_into_final_third,progressive_passing_distance,live_ball_sca,date_of_birth,context_source,context_source_url
Casemiro,Manchester United,Premier League,32,False,2071,20,"Current United reference profile, not a target",122,48.5,45,38,63.2,166,176,25,55,9,37,31,31,82.1,88.4,1008,1506,128,21,91,10,5580,31,1992-02-23,Manchester United reference profile,https://www.manutd.com/
Carlos Baleba,Brighton & Hove Albion,Premier League,22,True,2580,55,May 2026 EPL target pool: young ball-winner with carrying upside,124,57.8,56,42,55.0,190,252,52,45,8,43,36,56,84.2,89.5,1420,1990,150,82,112,48,6100,54,2004-01-03,Public profile checked May 2026,https://en.wikipedia.org/wiki/Carlos_Baleba
Ederson,Atalanta,Serie A,24,True,2822,35,Two-way transition defender,166,54.1,67,46,58.4,216,268,50,47,7,39,29,52,82.9,88.7,1428,1994,171,64,121,38,6840,58,1999-07-07,UEFA 2025/26 profile,https://www.uefa.com/uefachampionsleague/clubs/players/250188474--ederson/
Morten Hjulmand,Sporting CP,Primeira Liga,25,True,2520,35,Aggressive holder with passing range,154,52.6,66,41,57.1,205,250,46,58,11,28,23,48,85.2,90.6,1510,2042,188,42,148,25,7480,49,1999-06-25,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefachampionsleague/clubs/players/250101557--morten-hjulmand/
João Gomes,Wolverhampton Wanderers,Premier League,23,True,2464,40,Ball-winning transition disruptor,189,55.4,63,48,50.6,227,261,58,64,11,46,43,61,81.7,87.3,1168,1726,115,52,84,29,5090,54,2001-02-12,Public profile checked May 2026,https://www.premierleague.com/
Manuel Ugarte,Manchester United,Premier League,25,False,1774,45,"Current United midfielder as of May 2026, not a target",151,59.6,53,30,52.4,184,204,48,49,10,20,24,55,91.0,94.1,1232,1598,91,23,65,14,3530,23,2001-04-11,Manchester United confirmed signing from PSG in Aug 2024,https://www.manutd.com/en/news/detail/transfer-news-manuel-ugarte-signs-from-psg
Florentino Luís,Burnley,Premier League,24,True,1745,30,"EPL target pool: defensive specialist, on loan from Benfica in 2025/26 public profiles",137,60.2,55,36,64.5,173,198,41,38,6,24,22,44,87.5,92.4,996,1397,83,18,62,9,3310,19,1999-08-19,UEFA 2025/26 profile lists Burnley loan,https://www.uefa.com/uefachampionsleague/clubs/players/250089225--florentino/
Youssouf Fofana,AC Milan,Serie A,27,True,2580,30,"Serie A target pool: range, carries, and duels",138,49.9,49,42,56.6,181,232,43,43,7,42,39,47,83.4,88.1,1360,1962,177,73,136,46,6900,62,1999-01-10,AC Milan / Transfermarkt profile checked May 2026,https://www.acmilan.com/en/news/articles/media/2024-08-17/official-statement-youssouf-fofana
Amadou Onana,Aston Villa,Premier League,24,True,2277,50,EPL target pool: physical defensive upside,116,47.1,48,49,71.9,170,202,30,45,7,38,34,34,84.7,90.1,1046,1532,113,31,85,19,4540,28,2001-08-16,Aston Villa transfer from Everton in Jul 2024,https://global.espn.com/football/story/_/id/40616656/aston-villa-complete-amadou-onana-transfer-everton
Elliot Anderson,Nottingham Forest,Premier League,23,True,2880,75,"May 2026 EPL target pool: high-cost controller, availability caveat",156,52.8,60,45,54.2,205,270,56,48,6,32,30,61,86.4,91.1,1900,2520,218,91,166,56,8200,70,2002-11-06,Public profile checked May 2026,https://en.wikipedia.org/wiki/Elliot_Anderson_%28footballer%29
Bruno Guimarães,Newcastle United,Premier League,26,True,3059,85,"Control creator, premium market",174,50.5,61,43,48.7,205,272,61,66,13,45,38,67,84.8,90.2,2150,2798,261,86,196,49,9420,91,1997-11-16,Public profile checked May 2026,https://en.wikipedia.org/wiki/Bruno_Guimar%C3%A3es
Johnny Cardoso,Atlético Madrid,La Liga,24,True,2050,35,La Liga target pool: defensive midfielder with ball-carrying balance,138,54.8,59,40,58.7,184,215,43,37,6,24,22,46,87.8,92.6,1395,1810,145,49,111,29,5820,39,2001-09-20,Public profile checked May 2026,https://en.wikipedia.org/wiki/Johnny_Cardoso
Adam Wharton,Crystal Palace,Premier League,20,True,1200,35,"Young controller, sample-size caution",72,54.7,31,18,48.2,85,104,22,18,3,13,12,24,85.9,91.0,730,955,101,24,78,13,3750,26,2004-02-06,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefaconferenceleague/clubs/players/250178736--adam-wharton/
Angelo Stiller,Stuttgart,Bundesliga,23,True,2634,30,High-volume passer,105,46.8,44,32,45.1,151,226,34,28,4,26,18,36,90.8,94.2,2055,2638,251,55,203,32,9140,61,2001-04-04,Public profile checked May 2026,https://en.wikipedia.org/wiki/Angelo_Stiller
Samuele Ricci,AC Milan,Serie A,24,True,2304,28,Serie A target pool: press-resistant possession profile,116,51.6,52,33,47.9,161,210,39,35,6,22,19,42,87.2,92.0,1412,1831,154,38,116,21,6080,38,2001-08-21,AC Milan confirmed signing from Torino in Jul 2025,https://www.acmilan.com/en/news/articles/media/2025-07-03/official-statement-samuele-ricci
Alan Varela,Porto,Primeira Liga,22,True,2225,30,"Balanced anchor, promising age curve",126,53.9,58,35,52.1,169,220,42,41,8,25,21,45,86.1,91.4,1330,1762,161,35,122,20,6320,36,2001-07-04,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefaeuropaleague/clubs/players/250188256--alan-varela/
Exequiel Palacios,Bayer Leverkusen,Bundesliga,25,True,1986,45,"Elite control, availability watch",110,52.9,43,30,54.0,150,197,38,27,5,16,15,40,91.7,94.8,1625,2018,177,49,146,31,6810,48,1998-10-05,Bundesliga/Transfermarkt profile checked May 2026,https://www.bundesliga.com/en/bundesliga/player/exequiel-palacios/
Mats Wieffer,Brighton & Hove Albion,Premier League,26,True,2385,32,EPL target pool: tall distributor with defensive base,130,51.2,57,39,66.1,176,231,36,37,5,29,24,39,86.5,91.2,1505,1997,183,44,140,25,7160,43,1999-11-16,Public profile checked May 2026,https://en.wikipedia.org/wiki/Mats_Wieffer
Hugo Larsson,Eintracht Frankfurt,Bundesliga,21,True,2380,45,Bundesliga target pool: young two-way controller,128,51.6,49,36,56.2,169,224,44,36,6,27,23,47,86.6,91.8,1510,1985,162,58,120,34,6300,46,2004-06-27,Eintracht/UEFA profile checked May 2026,https://en.eintracht.de/2024-2025/squad/hugo-larsson/
Aleix García,Bayer Leverkusen,Bundesliga,28,True,3062,25,"Bundesliga target pool: possession controller, lighter duelling profile",123,44.9,55,36,42.5,164,260,38,39,6,31,27,42,89.7,93.6,2300,2972,304,64,245,36,11200,77,1997-06-28,Bundesliga confirmed Leverkusen signing in Jun 2024,https://www.bundesliga.com/en/bundesliga/news/bayer-leverkusen-sign-aleix-garcia-from-girona-27812
